Topic,Count,Name,Representation,Representative_Docs
0,1113,0_피부과_피부_화장품_스킨케어,"['피부과', '피부', '화장품', '스킨케어', '여드름', '마스크', '얼굴', '쫀쫀', '건조', '레티놀']","['아 써니님 피부랑 비슷하다 생각했는데 앰플에서 어긋나네요 저는 파넬 그 끈적한 느낌이 너무 싫더라구요 몇번 못썼어요 넘버즈인 1번은 유명해서 사봤는데 바르고 3시간 있다가 얼굴이 당기던 저 극지성이라 얼굴 당김 같은거 모르는 사람인데 심지어 여름에 얼굴은 당기는데 개기름은 번들번들 그렇게 넘버즈인 1번 세럼과 수분크림은 또 장식템이 되어버렸 1 더랩바이블랑두 제품 궁금해요 2 수분 진정 색소침착 항산화 등등 카테고리별로 추천해주셨는데 이걸 다 바르시는 거예요 종류별로 구입해놓고 그때그때 고민되는 피부유형별로 세럼을 바꿔서 발라야하는거예요 피부예민해서 화장품 하나 바꿀때도 몇주를 고민하는데 써니님도 피부 예민하신거 같은데 앰플 바꿔서 쓰셔도 피부 괜찮으세요', '여드름 클렌저 추천 건조함 잡고 피지 녹이는 저자극 클렌징 루틴 꽉 찬 수분감 CNP bye od td 하이드라 카밍 젤 클렌저 첫 번째 주인공은 CNP 차앤박 의 노하우가 담긴 여드름성 피부 적합 지성이나 트러블 고민이 있는 피부도 안심하고 사용할 수 있어요 2 모공 열고 붓기', '초6 지뽀에요 저는 초4부터 여드름이 나기 시작해서 친구들의 피부와 달리 올록볼록하고 붉은 제피부가 너무 싫고 피부때문에 너무 힘들었어요 그러던 어느날 올리브영 직원 분께서 추천해주신 여드름 연고가 있었는데 그 제품이 씨엔피 스팟 리페어링 트리트먼트 거든요 물론 지금 피부가 아주 매끈매끈하고 반짝반짝하진 않지만 글도 여드름도 되게 많이 들어가고 더 안나오게 막아주는 느낌 글서 오늘 지원님께서 소개해주신 앰플 미스트를 써봤는데 수분을 잘 채워줘서 좋드라구요 요새는 지금 화장을 하면 물론 안좋겠지만 화장에 관심이 많아졌는데 저는 뭘 발라도 다 뜨고 뭉치고 각질 부각 도 되더라구요 저는 약간 물광에다가 쫀쫀하고 오라ㅏ라라랄한 피부를 기대했는데 걍 잼민이가 엄마 화장품 훔쳐쓴 느낌 허허 차엔박 화장품이 제 피부에 잘 밎기도 하고 화장도 해보고 싶어서 신청해보아요']"
1,284,1_콜라겐_피부_화장품_스킨케어,"['콜라겐', '피부', '화장품', '스킨케어', '리뷰', '레티놀', '판테놀', '개선', '케어', '사용']","['올리브영 추천템 흡수 잘 되는 차앤박 CNP 더마앤서 액티브 올리브영 추천템 흡수 잘 되는 차앤박 CNP 더마앤서 액티브 부스트 진정 탄력 PDRN 앰플 오늘은 시켜줌으로써 트러블 걱정없이 무너진 피부 장벽까지 개선할 수 있는 제품이에요 ᵕ 늘어지고 많아진', '올리브영 제품추천 앰플 로 유명한 CNP 의 차앤박 PDRN앰플 부스트 PDRN 앰플 피부 탄력과 진정효과로 핫한 PDRN 요즘 PDRN 제품들 많이 나오는데 PDRN 은 피부 탄력이랑 진정 케어에 도움을 주는 성분 근데 차앤박 PDRN 앰플 의 핵심 포인트는 흡수율임 모공보다 무려 4천', '올리브영 앰플 추천 차앤박 CNP PDRN앰플 사용 후기 차앤박 PDRN 앰플 CNP 더마앤서 액티브 부스트 PDRN 앰플 속건조에도 좋아서 다 쓸때까지 잘 쓸것 같아요 오히려 금방 다 쓸까봐 애껴발라야 함 ㅠ PDRN 앰플 뭐 쓸까 고민 중이시라면 사용해 보시는거']"
2,185,2_가격_구매_구매자_반값,"['가격', '구매', '구매자', '반값', '쿠폰', '마켓', '최대', '상품', '쇼핑', '옵션']","['비스포크 세탁기 24kg 0평점을 주셨습니다 제품 후기보기 옵션 랩신 애경 선물세트 위생세트 오피스1호 5세트 차앤박 CNP 안티포어 블랙헤드 클리어 키트 10회분 ahc 블랙헤드 클리어 2회용증정 지금 최저가 20000원 최대 1', '안티포어블랙헤드클리어키트 가격비교 best top 후기 보고 가세요 케이스 없음 동의 지금구매하시면 18 000 차앤박 CNP 안티포어 블랙헤드 클리어 키트 10회분 x2개 15 690 차앤박 CNP 안티포어 블랙헤드 클리어키트 코팩 20세트 40매 저자극 블랙헤드 제거 모공 축소 효과', '소장각 키토산 0개를 주셨습니다 상품 후기보기 피부고민 모공 옵션 씨앤피 안티 포어 블랙헤드 클리어 키트 10매입 단품 단품 CNP 차앤박 안티포어 블랙헤드 키트 더블 세트 10회분X2세트 최저가격 30400원 최대']"
3,102,3_샘플_화율_리들샷_캡슐,"['샘플', '화율', '리들샷', '캡슐', '항목', '게시', '패드', '기초', '차앤박프로폴리스', '화장품']","['화장품샘플 백화점용 자음수 윤조에센스 설화수샘플 진설유액 타임레스폰스 스킨 리저브세럼 더후샘플 진 디에이징 PDRN 부스터샷 30장 5 000p 120장 19 000p 프라임 어드밴서 디에이징 앰플 세럼 30장 5 20 000p lt CNP gt RX 스킨 리바이브 디멜라인 앰플 30장 6 000p 120장 22 000p RX 수프리머시 리뉴', '화장품샘플 백화점용 자음수 윤조에센스 설화수샘플 진설유액 타임레스폰스 스킨 리저브세럼 더후샘플 진 디에이징 PDRN 부스터샷 30장 5 000p 120장 19 000p 프라임 어드밴서 디에이징 앰플 세럼 30장 5 20 000p lt CNP gt RX 스킨 리바이브 디멜라인 앰플 30장 6 000p 120장 22 000p RX 수프리머시 리뉴', '화장품샘플 백화점용 자음수 윤조에센스 설화수샘플 진설유액 타임레스폰스 스킨 리저브세럼 더후샘플 진 디에이징 PDRN 부스터샷 30장 5 000p 120장 19 000p 프라임 어드밴서 디에이징 앰플 세럼 30장 5 20 000p lt CNP gt RX 스킨 리바이브 디멜라인 앰플 30장 6 000p 120장 22 000p RX 수프리머시 리뉴']"
4,75,4_블랙_상자_패키지_키트,"['블랙', '상자', '패키지', '키트', '노폐물', '면봉', '구성', '세트', '마스크', '사진']","['차앤박 코팩 안티포어 블랙헤드 클리어 키트 내돈내산 후기 그래서 저도 혹해서 차앤박 CNP 안티포어 블랙헤드 클리어 키트를 내돈내산으로 구매했어요 차앤박 코팩 안티포어 블랙헤드 클리어 키트 내돈내산 후기 차앤박 코팩 안티포어 블랙헤드 키트가 워낙 유명하고', 'CNP 차앤박 안티포어 블랙헤드 퍼펙트 클리어 코팩 키트 2종 오늘은 CNP 차앤박 안티포어 블랙헤드 퍼펙트 클리어 코팩 키트 2종 세트 10개입 3개에 대해 CNP 차앤박 안티포어 블랙헤드 퍼펙트 클리어 코팩 키트 2종 세트는 블랙헤드 제거를 위한 제품으로 각 패키지에', 'CNP 차앤박 안티포어 블랙헤드 퍼펙트 클리어 코팩 키트 2종 오늘은 CNP 차앤박 안티포어 블랙헤드 퍼펙트 클리어 코팩 키트 2종 세트 10개입 2개를 소개해드릴게요 CNP 차앤박 안티포어 블랙헤드 퍼펙트 클리어 코팩 키트 2종 세트는 블랙헤드를 효과적으로 제거하기']"
5,56,5_바이오더마_콜라겐_유산균_시카페어,"['바이오더마', '콜라겐', '유산균', '시카페어', '이마트', '수분', '워터', '효소', '유기농', '클리니크']","['코스트코 할인정보 1월13일 월 발포비타민 알로에이뮨스틱 버블 클렌징폼 바이오더마 클렌징 워터닥터브로너스 퓨어 캐스틸 솝 라벤더 닥터브로너스 퓨어 캐스틸 솝 시트로스오렌지 세라놀 겔 토너패드 장팩 마몽드 어메이징 딥 민트 클렌징 밤수이사이 효소 파우더', '미리보는 코스트코 할인정보 1월19일 월 카고조거 폴로셔츠 버블 클렌징폼 바이오더마 클렌징 워터닥터브로너스 퓨어 캐스틸 솝 라벤더 닥터브로너스 퓨어 캐스틸 솝 시트로스오렌지 세라놀 겔 토너패드 장팩 마몽드 어메이징 딥 민트 클렌징 밤수이사이 효소 파우더', '미리보는 코스트코 할인정보 2월2일 월 크루넥 자켓 청바지 버블 클렌징폼 바이오더마 클렌징 워터닥터브로너스 퓨어 캐스틸 솝 라벤더 닥터브로너스 퓨어 캐스틸 솝 시트로스오렌지 세라놀 겔 토너패드 장팩 마몽드 어메이징 딥 민트 클렌징 밤수이사이 효소 파우더']"
6,47,6_홈케어_착용_케어_후기,"['홈케어', '착용', '케어', '후기', '전문', '포스팅', '효과', '르세라핌', '사용', '뷰티디바이스']","['디바이스 홈케어 루틴ㅣ CNP 트러블 카밍 퀵 부스터샷 트러블 관리 com cnpcosmetics products 12701394466 뷰티디바이스 홈케어 CNP트러블카밍 퀵부스터샷 트러블 트러블샷 트러블관리 차앤박디바이스 CNP디바이스 디바이스추천 홈케어루틴 CNP 차앤박 Beautydevice Galvanic', '3분 홈케어로 트러블 관리 끝 차앤박 부스터샷 뷰티 디바이스 가져왔어요 CNP 트러블 카밍 퀵 부스터 샷 트러블이 한 번 올라오기 시작하면 붉은 기 남고 손대면 차앤박 트러블 카밍 퀵 부스터 샷이에요 집에서 쓰는 홈케어 뷰티 디바이스지만 효과는 꽤 전문적인', '피부 고민 해결사 CNP 트러블 카밍 퀵 부스터 샷 사용 후기 오늘은 집에서도 간편하게 전문적인 관리를 도와주는 뷰티 디바이스 CNP 트러블 카밍 퀵 부스터 효과 뷰티디바이스 차앤박디바이스 CNP디바이스 트러블 홈케어 디바이스 디바이스추천 CNP']"
7,36,7_화장품_피부과_피부염_추출물,"['화장품', '피부과', '피부염', '추출물', '피부', '약국', '더마코스메틱', '멜라닌', '후기', '뷰티']","['약국에서 만나볼 수 있는 동국제약 마데카파마시아 3종 사용후기 건조 민감 있으신 분들은 진짜 한 번쯤 테스트해볼 가치 있는 제품이라고 추천 드리고 싶어요 체험단 제품제공 동국제약 마데카파마시아 MadecaPharmacia 약국화장품 TECA 더마코스메틱 피부진정 장벽케어 PDRN', '보습 피부진정에 도움되는 약국 화장품 추천 동국제약 마데카파마시아 사용 후기 체험단 제품제공 동국제약 마데카파마시아 MadecaPharmacia 약국화장품 TECA 더마코스메틱 피부진정 장벽케어 PDRN 본 후기는 동국제약 마데카파마시아로부터 제품을 무상으로 제공받아 작성되었습니다 요즘들어 피부', '약국화장품 동국제약 마데카파마시아 3종 솔직 후기 피부 건조함을 잡아줘 보습에 정말 좋았어요 저처럼 건성이기면 동국지약 마데카파마시아 적극 추천 해요 체험단 제품제공 동국제약 마데카파마시아 MadecaPharmacia 약국화장품 TECA 더마코스메틱 피부진정 장벽케어 PDRN']"
8,34,8_썬크림_자외선_선크림_레이저,"['썬크림', '자외선', '선크림', '레이저', '스킨케어', '피부', '보호', '안전', '커버', '쿨링']","['닥터지선크림 핫딜 닥터지 브라이트닝 업 선 플러스 선크림 SPF50 PA 50ml x 2p 키링 세트 1세트 2902 차앤박 톤 업 프로텍션 선크림 SPF42 PA 50ml 1개 12 800원 상세정보 amp 리뷰 4016 더페이스샵 SPF50 PA 강력한 자외선 차단 효과 로 햇빛으로부터 피부를 안전하게 보호해 줍니다 미백 기능성', '입증된 헤라 선 메이트 레포츠 프로 워터프루프 70ml SPF50 PA 2개 추천핫딜이에요 끈적임 없음 산뜻한 마무리감 촉촉한 사용감 장점 1 강력한 자외선 차단 효과 SPF50 PA 로 1개 차앤박 톤 업 프로텍션 선크림 SPF42 PA 50ml 1개 더페이스샵 내추럴선 에코 파워 롱래스팅 선크림', '화제집중 헤라 선크림 선메이트 레포츠 70ml sm 썬크림 UV SPF50 PA 2개 상세페이지 참조 핫딜정보 3580 차앤박 톤 업 프로텍션 선크림 SPF42 PA 50ml 1개 13 090원 정보 amp 후기 4031 더페이스샵 내추럴선 강력한 자외선 차단 효과 SPF50 PA 자외선 차단 지수만 봐도 믿음직스럽죠 SPF50 PA 는 강력한']"
9,32,9_화장품_뷰티_뷰티템_클래리파잉,"['화장품', '뷰티', '뷰티템', '클래리파잉', '선크림', '피부', '닥터지', '후기', '웨어', '커버']","['유세린 하이알루론 부스팅 에센스 100ml 촉촉함의 신세계 해결 민감성 피부 에센스 저자극 화장품 독일 더마 코스메틱 피부 장벽 강화 탄력 에센스 주름 개선 안티에이징 피부 과학 데일리 에센스 기초 화장품 뷰티템 할인 정보 가성비 화장품 에센스 추천', '2025 화장품 브랜드 순위 색조 기초화장품 등 2024도 피부 아누아 마녀공장 CNP 한율 여드름 피부 닥터자르트 라운드랩 VT코스메틱 피부 탄력 피부타입별화장품 가성비화장품 고가화장품브랜드 저가화장품브랜드 화장품랭킹 화장품브랜드 비교', '더마 일리 엑토인 7 크림 직접 써본 솔직 사용기 독일 더마 크림 수부진화크림 보습크림 속건조크림 민감성피부 저자극화장품 피부장벽강화 건성피부 환절기보습 고보습 진정크림 기초화장품 코스메틱 뷰티템 할인 가성비화장품 추천 템 인생템']"
10,27,10_헤라샘플_클리닉_리플렉팅_링클코렉터,"['헤라샘플', '클리닉', '리플렉팅', '링클코렉터', '샘플', '레티놀', '워터', '기초키트', '배송비', '화율']","['최저가 천기단 화현골드앰플 천율단 화율 비첩 순환 자생 에센스 자윤 진율고 아이 크림 미백수분 더후샘플 10개 ㅡ19000p 하이드로 카밍 수딩로션 50ml 수분 진정 1개ㅡ7000 5개ㅡ34000 10개ㅡ66000 깊은주름 30장ㅡ6500p 클리닉 사이언스 모공 트러블 지성 리파이닝 메디 스킨 20ml', '최저가 천기단 화현골드앰플 천율단 화율 비첩 순환 자생 에센스 자윤 진율고 아이 크림 미백수분 더후샘플 10개 ㅡ19000p 하이드로 카밍 수딩로션 50ml 수분 진정 1개ㅡ7000 5개ㅡ34000 10개ㅡ66000 깊은주름 30장ㅡ6500p 클리닉 사이언스 모공 트러블 지성 리파이닝 메디 스킨 20ml', '최저가 천기단 화현골드앰플 천율단 화율 비첩 순환 자생 에센스 자윤 진율고 아이 크림 미백수분 더후샘플 10개 ㅡ19000p 하이드로 카밍 수딩로션 50ml 수분 진정 1개ㅡ7000 5개ㅡ34000 10개ㅡ66000 깊은주름 30장ㅡ6500p 클리닉 사이언스 모공 트러블 지성 리파이닝 메디 스킨 20ml']"
11,20,11_콜라_구매_스킨푸드_쫀쫀,"['콜라', '구매', '스킨푸드', '쫀쫀', '차앤박프로폴리스', '감사', '클리어', '지금', '아이템', '매장']","['쿠션 추천 부탁드려도 될까요 큰맘먹고 주말에 백화점 가서 사볼까하는데요 백화점 브랜드 쿠션 괜찮은거 아시면 추천 좀 부탁드려요 지속력 짱짱 잡티 커버 잘되면 좋겠어요 차앤박 정샘물만 써보다가ㅋㅋㅋ 비싼건 다른지 써보고파요', '재유님 덕분에 저번에 구매해서 잘쓰고 있었는데 대용량 너무 좋은데요 차앤박 피디알엔 쫀쫀하고 최고예용 이번 아따맘마 콜라보 귀엽네요 마켓 응원할게요', '재유님 덕분에 저번에 구매해서 잘쓰고 있었는데 대용량 너무 좋은데요 차앤박 피디알엔 쫀쫀하고 최고예용 이번 아따맘마 콜라보 귀엽네요 마켓 응원할게요']"
12,18,12_매장_스프레이_코스트코_레몬,"['매장', '스프레이', '코스트코', '레몬', '오일', '민트', '오메가', '허브', '마우스', '크루']","['미리보는 코스트코 할인정보 4월13일 월요일 운동화 트루블루 프로폴리스 캔디 마누카허니리콜라 레몬민트 허브캔디 콤비타 프로폴리스 스프레이정관장 멜라캡쳐 앰플 프로버츠비 틴티드립밤 텐 레볼루션 아이크림손앤박 아이래쉬 세럼헤라 센슈얼 누드 밤', '미리보는 코스트코 할인정보 3월16일 월요일 프로폴리스 트루블루 프로폴리스 캔디 마누카허니리콜라 레몬민트 허브캔디 콤비타 프로폴리스 스프레이정관장 멜라캡쳐 앰플 프로버츠비 틴티드립밤 텐 레볼루션 아이크림손앤박 아이래쉬 세럼헤라 센슈얼 누드 밤', '코스트코 할인정보 3월24일 화 다시마골뱅이 참치 즉석우동 트루블루 프로폴리스 캔디 마누카허니리콜라 레몬민트 허브캔디 콤비타 프로폴리스 스프레이정관장 멜라캡쳐 앰플 프로버츠비 틴티드립밤 텐 레볼루션 아이크림손앤박 아이래쉬 세럼헤라 센슈얼 누드 밤']"
13,17,13_스킨케어_피부과_피부_건강,"['스킨케어', '피부과', '피부', '건강', '비타민', '레티놀', '펩타이드', '케어', '착색', '색소']","['26개 대박이네요ㅋㅋㅋ 전 기미 때문에 스트레스가 심했었는데 ㅜㅜ 이것저것 다해보고 효과가 가장 좋았던게 피부과쌤이 비타민C랑 트라넥삼산 성분이 좋다고해서 퓨어닐 기미앰플이랑 멜라토닝크림 같이 병행해주니까 기미가 눈에 띄게 옅어지고 피부톤도 전체적으로 밝아지더라구요 아 그리고 선크림도 꾸준히 발라줬어요', '26개 대박이네요ㅋㅋㅋ 전 기미 때문에 스트레스가 심했었는데 ㅜㅜ 이것저것 다해보고 효과가 가장 좋았던게 피부과쌤이 비타민C랑 트라넥삼산 성분이 좋다고해서 퓨어닐 기미앰플이랑 멜라토닝크림 같이 병행해주니까 기미가 눈에 띄게 옅어지고 피부톤도 전체적으로 밝아지더라구요 아 그리고 선크림도 꾸준히 발라줬어요', '26개 대박이네요ㅋㅋㅋ 전 기미 때문에 스트레스가 심했었는데 ㅜㅜ 이것저것 다해보고 효과가 가장 좋았던게 피부과쌤이 비타민C랑 트라넥삼산 성분이 좋다고해서 퓨어닐 기미앰플이랑 멜라토닝크림 같이 병행해주니까 기미가 눈에 띄게 옅어지고 피부톤도 전체적으로 밝아지더라구요 아 그리고 선크림도 꾸준히 발라줬어요']"
