scope,source,mode,topic_id,optimal_k,coherence,keywords
전체,all,unigram,0,7,0.4033,"0.081*""블랙"" + 0.079*""차앤박"" + 0.077*""헤드"" + 0.045*""키트"" + 0.044*""클리어"" + 0.040*""안티포어"" + 0.018*""퍼펙트"" + 0.016*""가격"""
전체,all,unigram,1,7,0.4033,"0.107*""클렌징"" + 0.045*""오일"" + 0.020*""패드"" + 0.019*""피부"" + 0.018*""사용"" + 0.017*""세안"" + 0.017*""피지"" + 0.016*""여드름"""
전체,all,unigram,2,7,0.4033,"0.090*""세럼"" + 0.073*""앰플"" + 0.025*""리뷰"" + 0.017*""히알루론산"" + 0.017*""수분"" + 0.016*""흔적"" + 0.015*""아누아"" + 0.013*""크림"""
전체,all,unigram,3,7,0.4033,"0.042*""앰플"" + 0.041*""크림"" + 0.034*""트러블"" + 0.029*""샘플"" + 0.027*""부스터"" + 0.027*""디바이스"" + 0.023*""세럼"" + 0.023*""스킨"""
전체,all,unigram,4,7,0.4033,"0.031*""트러블"" + 0.029*""차앤박"" + 0.022*""여드름"" + 0.020*""스팟"" + 0.020*""구매"" + 0.019*""카밍"" + 0.017*""제품"" + 0.013*""효과"""
전체,all,unigram,5,7,0.4033,"0.107*""차앤박"" + 0.095*""앰플"" + 0.065*""프로폴리스"" + 0.041*""미스트"" + 0.021*""올리브"" + 0.019*""액티브"" + 0.018*""에너지"" + 0.017*""피부"""
전체,all,unigram,6,7,0.4033,"0.088*""피부"" + 0.049*""앰플"" + 0.035*""크림"" + 0.026*""제품"" + 0.018*""사용"" + 0.016*""효과"" + 0.016*""성분"" + 0.015*""수분"""
전체,all,bigram,0,2,0.4736,"0.020*""블랙_헤드"" + 0.010*""안티포어_블랙"" + 0.009*""차앤박_안티포어"" + 0.009*""클리어_키트"" + 0.007*""헤드_클리어"" + 0.006*""클렌징_오일"" + 0.005*""수분_앰플"" + 0.005*""앰플_리뷰"""
전체,all,bigram,1,2,0.4736,"0.030*""차앤박_프로폴리스"" + 0.020*""프로폴리스_앰플"" + 0.013*""앰플_미스트"" + 0.012*""프로폴리스_에너지"" + 0.011*""차앤박_앰플"" + 0.008*""동국_제약"" + 0.008*""에너지_앰플"" + 0.007*""액티브_부스트"""
전체,all,unibi_mix,0,6,0.5201,"0.044*""앰플"" + 0.043*""세럼"" + 0.015*""수분"" + 0.012*""크림"" + 0.011*""리뷰"" + 0.011*""웰라쥬"" + 0.008*""흔적"" + 0.008*""피부"""
전체,all,unibi_mix,1,6,0.5201,"0.025*""트러블"" + 0.017*""효과"" + 0.016*""앰플"" + 0.016*""클렌징"" + 0.015*""카밍"" + 0.015*""토너"" + 0.013*""제품"" + 0.011*""디바이스"""
전체,all,unibi_mix,2,6,0.5201,"0.031*""차앤박"" + 0.030*""블랙"" + 0.029*""헤드"" + 0.028*""블랙_헤드"" + 0.023*""클렌징"" + 0.019*""크림"" + 0.017*""키트"" + 0.016*""클리어"""
전체,all,unibi_mix,3,6,0.5201,"0.037*""앰플"" + 0.016*""샘플"" + 0.014*""세럼"" + 0.013*""에이징"" + 0.011*""쿠션"" + 0.010*""크림"" + 0.010*""스킨"" + 0.009*""프로폴리스"""
전체,all,unibi_mix,4,6,0.5201,"0.067*""앰플"" + 0.061*""차앤박"" + 0.032*""프로폴리스"" + 0.023*""차앤박_프로폴리스"" + 0.019*""올리브"" + 0.015*""프로폴리스_앰플"" + 0.014*""액티브"" + 0.013*""앰프"""
전체,all,unibi_mix,5,6,0.5201,"0.060*""피부"" + 0.024*""앰플"" + 0.019*""크림"" + 0.019*""사용"" + 0.016*""제품"" + 0.012*""차앤박"" + 0.011*""미스트"" + 0.010*""건조"""
blog,blog,unigram,0,3,0.5193,"0.078*""클렌징"" + 0.036*""퓨어"" + 0.035*""캐스틸"" + 0.034*""토너"" + 0.027*""패드"" + 0.025*""버블"" + 0.021*""파우더"" + 0.021*""민트"""
blog,blog,unigram,1,3,0.5193,"0.065*""앰플"" + 0.047*""차앤박"" + 0.046*""피부"" + 0.030*""트러블"" + 0.023*""프로폴리스"" + 0.022*""크림"" + 0.021*""제품"" + 0.018*""사용"""
blog,blog,unigram,2,3,0.5193,"0.084*""차앤박"" + 0.038*""블랙"" + 0.036*""헤드"" + 0.024*""클리어"" + 0.021*""키트"" + 0.020*""안티포어"" + 0.019*""앰플"" + 0.017*""올리브"""
blog,blog,bigram,0,7,0.4831,"0.067*""더마앤서_액티브"" + 0.066*""액티브_부스트"" + 0.052*""차앤박_더마앤서"" + 0.051*""부스트_앰플"" + 0.017*""앰플_사용"" + 0.015*""사용_후기"" + 0.011*""탄력_앰플"" + 0.010*""피부_장벽"""
blog,blog,bigram,1,7,0.4831,"0.101*""차앤박_프로폴리스"" + 0.072*""앰플_미스트"" + 0.055*""프로폴리스_에너지"" + 0.051*""에너지_앰플"" + 0.051*""프로폴리스_앰플"" + 0.011*""미스트_플러스"" + 0.011*""미스트_제품"" + 0.009*""앰플_쿠션"""
blog,blog,bigram,2,7,0.4831,"0.112*""블랙_헤드"" + 0.061*""클리어_키트"" + 0.051*""안티포어_블랙"" + 0.038*""차앤박_안티포어"" + 0.035*""퍼펙트_클리어"" + 0.033*""헤드_퍼펙트"" + 0.030*""헤드_클리어"" + 0.021*""안티_블랙"""
blog,blog,bigram,3,7,0.4831,"0.039*""차앤박_프로폴리스"" + 0.035*""프로폴리스_앰플"" + 0.030*""차앤박_앰플"" + 0.025*""스팟_카밍"" + 0.022*""앰플_차앤박"" + 0.017*""앰플_올리브"" + 0.015*""바디_로션"" + 0.010*""올리브_앰플"""
blog,blog,bigram,4,7,0.4831,"0.051*""퓨어_캐스틸"" + 0.029*""토너_패드"" + 0.026*""민트_클렌징"" + 0.026*""어메이징_민트"" + 0.026*""마몽드_어메이징"" + 0.025*""닥터브로너스_퓨어"" + 0.025*""캐스틸_라벤더"" + 0.025*""이사_효소"""
blog,blog,bigram,5,7,0.4831,"0.046*""차앤박_앰플"" + 0.033*""올리브_차앤박"" + 0.015*""앰플_더마앤서액티브부스트앰플"" + 0.015*""제품_차앤박"" + 0.014*""수분_크림"" + 0.013*""차앤박_차앤박"" + 0.012*""더마앤서액티브부스트앰플_올리브"" + 0.012*""크림_크림"""
blog,blog,bigram,6,7,0.4831,"0.065*""트러블_카밍"" + 0.061*""카밍_부스터"" + 0.033*""트러블_관리"" + 0.026*""디바이스_트러블"" + 0.019*""피부_관리"" + 0.014*""홈케어_디바이스"" + 0.012*""차앤박_트러블"" + 0.012*""관리_트러블"""
blog,blog,unibi_mix,0,5,0.6256,"0.048*""트러블"" + 0.034*""디바이스"" + 0.034*""차앤박"" + 0.026*""부스터"" + 0.024*""카밍"" + 0.022*""트러블_카밍"" + 0.020*""카밍_부스터"" + 0.017*""앰플"""
blog,blog,unibi_mix,1,5,0.6256,"0.050*""앰플"" + 0.041*""피부"" + 0.035*""차앤박"" + 0.025*""크림"" + 0.017*""올리브"" + 0.015*""더마앤서"" + 0.014*""사용"" + 0.013*""액티브"""
blog,blog,unibi_mix,2,5,0.6256,"0.044*""차앤박"" + 0.039*""앰플"" + 0.031*""프로폴리스"" + 0.027*""피부"" + 0.025*""미스트"" + 0.023*""차앤박_프로폴리스"" + 0.019*""제품"" + 0.012*""프로폴리스_앰플"""
blog,blog,unibi_mix,3,5,0.6256,"0.045*""블랙"" + 0.043*""헤드"" + 0.043*""블랙_헤드"" + 0.039*""차앤박"" + 0.029*""클리어"" + 0.026*""키트"" + 0.024*""안티포어"" + 0.024*""클리어_키트"""
blog,blog,unibi_mix,4,5,0.6256,"0.053*""클렌징"" + 0.024*""퓨어"" + 0.023*""퓨어_캐스틸"" + 0.023*""캐스틸"" + 0.018*""토너"" + 0.015*""패드"" + 0.013*""토너_패드"" + 0.013*""마몽드"""
cafearticle,cafearticle,unigram,0,6,0.4186,"0.055*""앰플"" + 0.045*""크림"" + 0.043*""샘플"" + 0.035*""세럼"" + 0.031*""에이징"" + 0.029*""스킨"" + 0.026*""에센스"" + 0.023*""수분"""
cafearticle,cafearticle,unigram,1,6,0.4186,"0.090*""피부"" + 0.029*""앰플"" + 0.028*""비교"" + 0.028*""크림"" + 0.025*""탄력"" + 0.022*""효과"" + 0.021*""제품"" + 0.021*""사용"""
cafearticle,cafearticle,unigram,2,6,0.4186,"0.061*""블랙"" + 0.060*""차앤박"" + 0.058*""헤드"" + 0.040*""키트"" + 0.036*""클리어"" + 0.035*""안티포어"" + 0.022*""제품"" + 0.021*""후기"""
cafearticle,cafearticle,unigram,3,6,0.4186,"0.106*""차앤박"" + 0.098*""앰플"" + 0.082*""프로폴리스"" + 0.069*""미스트"" + 0.057*""피부"" + 0.033*""에너지"" + 0.029*""마스크"" + 0.013*""사용"""
cafearticle,cafearticle,unigram,4,6,0.4186,"0.052*""차앤박"" + 0.044*""크림"" + 0.032*""클렌징"" + 0.027*""제품"" + 0.021*""피부"" + 0.015*""트러블"" + 0.014*""프로텍션"" + 0.012*""효과"""
cafearticle,cafearticle,unigram,5,6,0.4186,"0.094*""차앤박"" + 0.083*""앰플"" + 0.045*""프로폴리스"" + 0.033*""거래"" + 0.028*""액티브"" + 0.020*""더마앤서"" + 0.018*""혜택"" + 0.017*""결제"""
cafearticle,cafearticle,bigram,0,6,0.5488,"0.034*""동국_제약"" + 0.027*""제약_마데카파마시아"" + 0.021*""아이_크림"" + 0.020*""카밍_로션"" + 0.020*""하이드로_카밍"" + 0.020*""모공_트러블"" + 0.020*""트러블_지성"" + 0.020*""지성_리파이닝"""
cafearticle,cafearticle,bigram,1,6,0.5488,"0.026*""에이징_부스터"" + 0.026*""에이징_앰플"" + 0.022*""라인_앰플"" + 0.022*""앰플_수프리머시"" + 0.022*""스킨_리바이브"" + 0.022*""프라임_어드밴서"" + 0.022*""리바이브_라인"" + 0.022*""어드밴서_에이징"""
cafearticle,cafearticle,bigram,2,6,0.5488,"0.094*""차앤박_프로폴리스"" + 0.090*""프로폴리스_앰플"" + 0.038*""앰플_미스트"" + 0.038*""차앤박_앰플"" + 0.017*""결제_혜택"" + 0.015*""레몬_클렌저"" + 0.014*""조회_결제"" + 0.014*""시세_조회"""
cafearticle,cafearticle,bigram,3,6,0.5488,"0.025*""스팟_카밍"" + 0.022*""액티브_부스트"" + 0.020*""부스트_앰플"" + 0.018*""더마앤서_액티브"" + 0.018*""차앤박_더마앤서"" + 0.016*""피부_트러블"" + 0.014*""차앤박_미스트"" + 0.013*""수분_크림"""
cafearticle,cafearticle,bigram,4,6,0.5488,"0.057*""차앤박_프로폴리스"" + 0.056*""프로폴리스_에너지"" + 0.040*""에너지_앰플"" + 0.024*""차앤박_프로텍션"" + 0.019*""액티브_앰플"" + 0.018*""앰플_마스크"" + 0.018*""앰플_미스트"" + 0.017*""에너지_액티브"""
cafearticle,cafearticle,bigram,5,6,0.5488,"0.111*""블랙_헤드"" + 0.065*""안티포어_블랙"" + 0.064*""차앤박_안티포어"" + 0.063*""클리어_키트"" + 0.047*""헤드_클리어"" + 0.017*""퍼펙트_클리어"" + 0.016*""헤드_퍼펙트"" + 0.011*""헤드_키트"""
cafearticle,cafearticle,unibi_mix,0,4,0.5408,"0.049*""피부"" + 0.028*""앰플"" + 0.026*""차앤박"" + 0.016*""제품"" + 0.015*""사용"" + 0.014*""크림"" + 0.012*""클렌징"" + 0.010*""비교"""
cafearticle,cafearticle,unibi_mix,1,4,0.5408,"0.047*""차앤박"" + 0.033*""블랙"" + 0.031*""헤드"" + 0.031*""블랙_헤드"" + 0.022*""키트"" + 0.020*""클리어"" + 0.019*""안티포어"" + 0.018*""안티포어_블랙"""
cafearticle,cafearticle,unibi_mix,2,4,0.5408,"0.021*""트러블"" + 0.018*""카밍"" + 0.018*""크림"" + 0.015*""여드름"" + 0.015*""스킨"" + 0.013*""로션"" + 0.013*""주름"" + 0.013*""수분"""
cafearticle,cafearticle,unibi_mix,3,4,0.5408,"0.051*""앰플"" + 0.034*""차앤박"" + 0.033*""프로폴리스"" + 0.026*""차앤박_프로폴리스"" + 0.020*""미스트"" + 0.016*""세럼"" + 0.015*""프로폴리스_앰플"" + 0.015*""샘플"""
youtube,youtube,unigram,0,3,0.4497,"0.061*""피부"" + 0.047*""앰플"" + 0.027*""크림"" + 0.024*""구매"" + 0.022*""앰프"" + 0.019*""트러블"" + 0.019*""제품"" + 0.018*""관리"""
youtube,youtube,unigram,1,3,0.4497,"0.098*""앰플"" + 0.068*""세럼"" + 0.022*""수분"" + 0.020*""리뷰"" + 0.018*""모공"" + 0.015*""효과"" + 0.015*""피부"" + 0.014*""진정"""
youtube,youtube,unigram,2,3,0.4497,"0.061*""피부"" + 0.040*""앰플"" + 0.036*""클렌징"" + 0.027*""크림"" + 0.026*""오일"" + 0.024*""사용"" + 0.023*""제품"" + 0.022*""효과"""
youtube,youtube,bigram,0,4,0.6091,"0.046*""클렌징_오일"" + 0.018*""재생_크림"" + 0.017*""피부_피부"" + 0.016*""여드름_피부"" + 0.015*""앰플_크림"" + 0.013*""오일_사용"" + 0.013*""피부_관리"" + 0.012*""아크릴_케이스"""
youtube,youtube,bigram,1,4,0.6091,"0.017*""클렌징_밀크"" + 0.016*""효과_피부"" + 0.014*""앰플_효과"" + 0.012*""수분_앰플"" + 0.011*""아침_저녁"" + 0.011*""킹스_파워"" + 0.011*""피부_앰프"" + 0.010*""블랙_헤드"""
youtube,youtube,bigram,2,4,0.6091,"0.018*""프로폴리스_앰플"" + 0.016*""차앤박_앰플"" + 0.013*""색소_침착"" + 0.012*""토너_앰플"" + 0.012*""피부_장벽"" + 0.011*""세럼_사용"" + 0.011*""플랫_앰프"" + 0.011*""플러스_크림"""
youtube,youtube,bigram,3,4,0.6091,"0.025*""앰플_리뷰"" + 0.013*""수분_앰플"" + 0.012*""진정_앰플"" + 0.012*""모공_앰플"" + 0.009*""케어_세럼"" + 0.009*""미백_앰플"" + 0.007*""성분_에디터"" + 0.007*""안티에이징_앰플"""
youtube,youtube,unibi_mix,0,2,0.505,"0.051*""피부"" + 0.021*""효과"" + 0.020*""크림"" + 0.019*""클렌징"" + 0.018*""제품"" + 0.014*""사용"" + 0.014*""앰플"" + 0.014*""오일"""
youtube,youtube,unibi_mix,1,2,0.505,"0.074*""앰플"" + 0.026*""세럼"" + 0.014*""피부"" + 0.012*""구매"" + 0.011*""수분"" + 0.011*""크림"" + 0.010*""앰프"" + 0.010*""리뷰"""
